"","x"
"1",0
"2",1.48960092666481e-07
"3",3.0435633903278e-07
"4",4.4600481225804e-07
"5",5.90459976180314e-07
"6",7.27789538371674e-07
"7",8.54765650322842e-07
"8",9.89565620256156e-07
"9",1.13760788704699e-06
"10",1.27296252019684e-06
"11",1.38775552756314e-06
"12",1.51899587834357e-06
"13",1.64690843663808e-06
"14",1.7711625392249e-06
"15",1.89137783792884e-06
"16",2.05347525627954e-06
"17",2.25831234025649e-06
"18",2.43567949362327e-06
"19",2.53730655368175e-06
"20",2.66653937712494e-06
"21",2.79644771682656e-06
"22",2.90807772474884e-06
"23",2.99034387509896e-06
"24",3.16076406152706e-06
"25",3.28274030862381e-06
"26",3.35416645517386e-06
"27",3.4270268219016e-06
"28",3.51375569569836e-06
"29",3.63749415267734e-06
"30",3.77408892179287e-06
"31",3.85129675225171e-06
"32",3.99822372453756e-06
"33",4.14753829735406e-06
"34",4.20160378226661e-06
"35",4.32236747626452e-06
"36",4.45026856767367e-06
"37",4.53059191469713e-06
"38",4.60899683577967e-06
"39",4.75610842934197e-06
"40",4.86876223845071e-06
"41",4.92569680654402e-06
"42",4.99273109690235e-06
"43",5.04864616669336e-06
"44",5.17271766869399e-06
"45",5.25726559036908e-06
"46",5.39555934769397e-06
"47",5.51555064885407e-06
"48",5.55844660504065e-06
"49",5.66977860417257e-06
"50",5.7696700298194e-06
"51",5.8675881970647e-06
"52",5.98812835283645e-06
"53",6.0272873683961e-06
"54",6.13635083288275e-06
"55",6.09793856397286e-06
"56",6.15565962351656e-06
"57",6.2020991209861e-06
"58",6.25714397601349e-06
"59",6.33315476693842e-06
"60",6.3805096792383e-06
"61",6.47231873536685e-06
"62",6.54285730428607e-06
"63",6.6483962950441e-06
"64",6.74817493932846e-06
"65",6.83565546170931e-06
"66",6.93583095366062e-06
"67",7.00300208232247e-06
"68",7.02244479117116e-06
"69",7.00539075687465e-06
"70",6.98608631946996e-06
"71",6.98926605554375e-06
"72",7.02580021085998e-06
"73",7.10491822231087e-06
"74",7.09163124853577e-06
"75",7.21571368130305e-06
"76",7.20864102271402e-06
"77",7.22402319242156e-06
"78",7.22241730522129e-06
"79",7.26487830907018e-06
"80",7.3797327182516e-06
"81",7.43031092541123e-06
"82",7.49111540671615e-06
"83",7.48957783891864e-06
"84",7.61289879499435e-06
"85",7.68903439660591e-06
"86",7.71983238557999e-06
"87",7.75285692746348e-06
"88",7.81610425367115e-06
"89",7.86363648327697e-06
"90",7.83681368676405e-06
"91",7.85572546811578e-06
"92",7.89294571636311e-06
"93",7.87875025119992e-06
"94",7.91378797781158e-06
"95",7.9431706576368e-06
"96",7.9981894246467e-06
"97",8.1144874510218e-06
"98",8.16973066552394e-06
"99",8.19149008793529e-06
"100",8.32010960313702e-06
"101",8.37876629220448e-06
"102",8.43218753613852e-06
"103",8.50968559328803e-06
"104",8.47729308913911e-06
"105",8.55586451381269e-06
"106",8.57357227267324e-06
"107",8.55150898798498e-06
"108",8.59447910710177e-06
"109",8.64010168917856e-06
"110",8.61051802276869e-06
"111",8.58327414198454e-06
"112",8.589783556883e-06
"113",8.63359804653913e-06
"114",8.68470923126132e-06
"115",8.71175350342208e-06
"116",8.75905285311089e-06
"117",8.75659387701795e-06
"118",8.80502953149219e-06
"119",8.83176431624464e-06
"120",8.88217638472472e-06
"121",8.89945608615248e-06
"122",8.89549230883795e-06
"123",8.88100202122894e-06
"124",8.97971556735424e-06
"125",9.08549712018101e-06
"126",9.17364652786249e-06
"127",9.24005987261061e-06
"128",9.31482950163917e-06
"129",9.26598925975821e-06
"130",9.26563949531013e-06
"131",9.29858782389588e-06
"132",9.32013618832172e-06
"133",9.44056709214457e-06
"134",9.52840253209887e-06
"135",9.64298879758865e-06
"136",9.77124196461503e-06
"137",9.76084161685166e-06
"138",9.80568284134077e-06
"139",9.83768198783245e-06
"140",9.92143071920698e-06
"141",9.93696790604648e-06
"142",9.88607583982402e-06
"143",9.90505449588172e-06
"144",9.95349289984402e-06
"145",1.00662373220604e-05
"146",1.0011701619947e-05
"147",1.00830527556469e-05
"148",1.01391779306227e-05
"149",1.01219896375943e-05
"150",1.01395001865062e-05
"151",1.01532481632003e-05
"152",1.01755154306845e-05
"153",1.01229337431633e-05
"154",1.025266184999e-05
"155",1.02425152514045e-05
"156",1.02474598044075e-05
"157",1.02354269239125e-05
"158",1.02622533015289e-05
"159",1.03110123578336e-05
"160",1.03563038793527e-05
"161",1.03564918397471e-05
"162",1.04310828045684e-05
"163",1.04618198243777e-05
"164",1.04619929294375e-05
"165",1.04760581315549e-05
"166",1.04032244286907e-05
